Offense,Total,Under10,Under15,Under20,Under25,Under30,Under35,Under40,Under45,Under50,Under55,Under60,Under65,Over65,Unknown,Crime_Type
Total,"8,267,845","131,339","226,288","549,818","925,055","1,010,364","962,124","854,932","714,160","618,293","559,565","520,271","402,993","677,211","115,432",Grave
Crimes Against Persons,"2,939,412","117,823","198,502","295,940","375,036","393,880","363,695","304,522","232,993","181,474","148,458","123,444","79,083","88,993","35,569",Grave
Assault Offenses,"2,706,772","81,158","143,951","256,062","351,830","374,771","347,661","292,157","224,222","175,238","144,000","120,080","77,000","85,686","32,956",Grave
Homicide Offenses,"16,537",562,338,"2,165","2,443","2,417","2,042","1,578","1,155",944,777,634,484,774,224,NotGrave
Human Trafficking Offenses,"2,141",94,513,637,227,145,144,81,34,30,14,20,3,6,193,NotGrave
Kidnapping/Abduction,"36,919","3,930","2,266","4,128","5,306","5,430","4,765","3,588","2,566","1,689","1,079",778,465,610,319,NotGrave
Sex Offenses,"177,043","32,079","51,434","32,948","15,230","11,117","9,083","7,118","5,016","3,573","2,588","1,932","1,131","1,917","1,877",NotGrave
Crimes Against Property,"5,328,433","13,516","27,786","253,878","550,019","616,484","598,429","550,410","481,167","436,819","411,107","396,827","323,910","588,218","79,863",Grave
Arson,"21,388",464,276,682,"1,399","1,822","2,171","2,192","2,016","1,897","1,715","1,771","1,345","2,336","1,302",NotGrave
Bribery,571,3,13,68,83,90,87,49,48,25,18,14,15,17,41,NotGrave
Burglary/Breaking & Entering,"522,039","2,299","2,731","19,470","48,303","56,547","57,358","53,607","46,521","42,398","41,461","41,581","35,348","67,410","7,005",NotGrave
Counterfeiting/Forgery,"56,168",98,89,"1,451","2,613","3,629","4,192","4,424","4,338","4,358","4,720","5,239","5,031","13,779","2,207",NotGrave
Destruction/Damage/Vandalism ,"1,065,076","2,390","3,255","52,537","115,237","128,312","124,755","114,773","99,933","88,356","81,557","77,720","62,329","99,641","14,281",NotGrave
Embezzlement,"6,537",10,15,125,349,457,590,680,600,611,619,581,494,"1,263",143,NotGrave
Extortion/Blackmail,"12,413",22,670,"3,236","2,096","1,340","1,003",866,670,591,490,445,317,590,77,NotGrave
Fraud Offenses,"696,632","1,186","1,436","25,093","49,026","57,405","60,889","62,083","62,237","62,438","62,157","62,425","54,957","124,105","11,195",NotGrave
Larceny/Theft Offenses,"2,207,848","4,923","15,171","114,153","249,039","272,370","257,696","231,340","195,676","175,193","163,137","154,999","125,770","222,164","26,217",Grave
Motor Vehicle Theft,"520,659",353,268,"17,466","53,544","67,142","65,102","59,188","51,785","46,016","41,715","38,733","29,139","44,013","6,195",NotGrave
Robbery,"136,018",812,"3,580","16,183","20,963","18,514","16,214","13,432","10,666","8,668","7,911","7,234","5,098","5,705","1,038",NotGrave
Stolen Property Offenses,"83,084",956,282,"3,414","7,367","8,856","8,372","7,776","6,677","6,268","5,607","6,085","4,067","7,195","10,162",NotGrave