Offense Category,Total,Male,Female,"Unknown
Sex"
Total,"8,267,845","3,981,337","4,222,777","63,731"
Crimes Against Persons,"2,939,412","1,189,281","1,734,467","15,664"
Assault Offenses,"2,706,772","1,145,789","1,546,208","14,775"
Homicide Offenses,"16,537","12,797","3,662",78
Human Trafficking Offenses,"2,141",335,"1,659",147
Kidnapping/Abduction,"36,919","8,557","28,212",150
Sex Offenses,"177,043","21,803","154,726",514
Crimes Against Property,"5,328,433","2,792,056","2,488,310","48,067"
Arson,"21,388","10,819","9,365","1,204"
Bribery,571,347,211,13
Burglary/Breaking & Entering,"522,039","279,522","239,263","3,254"
Counterfeiting/Forgery,"56,168","28,217","26,558","1,393"
Destruction/Damage/Vandalism,"1,065,076","508,037","549,220","7,819"
Embezzlement,"6,537","3,391","3,071",75
Extortion/Blackmail,"12,413","9,020","3,354",39
Fraud Offenses,"696,632","310,312","378,690","7,630"
Larceny/Theft Offenses,"2,207,848","1,188,814","1,003,049","15,985"
Motor Vehicle Theft,"520,659","320,919","197,047","2,693"
Robbery,"136,018","86,466","49,124",428
Stolen Property Offenses,"83,084","46,192","29,358","7,534"