Offense,Age Group,Age_count
Assault Offenses,Under10,"81,158"
Homicide Offenses,Under10,562
Human Trafficking Offenses,Under10,94
Kidnapping/Abduction,Under10,"3,930"
Sex Offenses,Under10,"32,079"
Arson,Under10,464
Bribery,Under10,3
Burglary/Breaking & Entering,Under10,"2,299"
Counterfeiting/Forgery,Under10,98
Destruction/Damage/Vandalism ,Under10,"2,390"
Embezzlement,Under10,10
Extortion/Blackmail,Under10,22
Fraud Offenses,Under10,"1,186"
Larceny/Theft Offenses,Under10,"4,923"
Motor Vehicle Theft,Under10,353
Robbery,Under10,812
Stolen Property Offenses,Under10,956
Assault Offenses,Under15,"143,951"
Homicide Offenses,Under15,338
Human Trafficking Offenses,Under15,513
Kidnapping/Abduction,Under15,"2,266"
Sex Offenses,Under15,"51,434"
Arson,Under15,276
Bribery,Under15,13
Burglary/Breaking & Entering,Under15,"2,731"
Counterfeiting/Forgery,Under15,89
Destruction/Damage/Vandalism ,Under15,"3,255"
Embezzlement,Under15,15
Extortion/Blackmail,Under15,670
Fraud Offenses,Under15,"1,436"
Larceny/Theft Offenses,Under15,"15,171"
Motor Vehicle Theft,Under15,268
Robbery,Under15,"3,580"
Stolen Property Offenses,Under15,282
Assault Offenses,Under20,"256,062"
Homicide Offenses,Under20,"2,165"
Human Trafficking Offenses,Under20,637
Kidnapping/Abduction,Under20,"4,128"
Sex Offenses,Under20,"32,948"
Arson,Under20,682
Bribery,Under20,68
Burglary/Breaking & Entering,Under20,"19,470"
Counterfeiting/Forgery,Under20,"1,451"
Destruction/Damage/Vandalism ,Under20,"52,537"
Embezzlement,Under20,125
Extortion/Blackmail,Under20,"3,236"
Fraud Offenses,Under20,"25,093"
Larceny/Theft Offenses,Under20,"114,153"
Motor Vehicle Theft,Under20,"17,466"
Robbery,Under20,"16,183"
Stolen Property Offenses,Under20,"3,414"
Assault Offenses,Under25,"351,830"
Homicide Offenses,Under25,"2,443"
Human Trafficking Offenses,Under25,227
Kidnapping/Abduction,Under25,"5,306"
Sex Offenses,Under25,"15,230"
Arson,Under25,"1,399"
Bribery,Under25,83
Burglary/Breaking & Entering,Under25,"48,303"
Counterfeiting/Forgery,Under25,"2,613"
Destruction/Damage/Vandalism ,Under25,"115,237"
Embezzlement,Under25,349
Extortion/Blackmail,Under25,"2,096"
Fraud Offenses,Under25,"49,026"
Larceny/Theft Offenses,Under25,"249,039"
Motor Vehicle Theft,Under25,"53,544"
Robbery,Under25,"20,963"
Stolen Property Offenses,Under25,"7,367"
Assault Offenses,Under30,"374,771"
Homicide Offenses,Under30,"2,417"
Human Trafficking Offenses,Under30,145
Kidnapping/Abduction,Under30,"5,430"
Sex Offenses,Under30,"11,117"
Arson,Under30,"1,822"
Bribery,Under30,90
Burglary/Breaking & Entering,Under30,"56,547"
Counterfeiting/Forgery,Under30,"3,629"
Destruction/Damage/Vandalism ,Under30,"128,312"
Embezzlement,Under30,457
Extortion/Blackmail,Under30,"1,340"
Fraud Offenses,Under30,"57,405"
Larceny/Theft Offenses,Under30,"272,370"
Motor Vehicle Theft,Under30,"67,142"
Robbery,Under30,"18,514"
Stolen Property Offenses,Under30,"8,856"
Assault Offenses,Under35,"347,661"
Homicide Offenses,Under35,"2,042"
Human Trafficking Offenses,Under35,144
Kidnapping/Abduction,Under35,"4,765"
Sex Offenses,Under35,"9,083"
Arson,Under35,"2,171"
Bribery,Under35,87
Burglary/Breaking & Entering,Under35,"57,358"
Counterfeiting/Forgery,Under35,"4,192"
Destruction/Damage/Vandalism ,Under35,"124,755"
Embezzlement,Under35,590
Extortion/Blackmail,Under35,"1,003"
Fraud Offenses,Under35,"60,889"
Larceny/Theft Offenses,Under35,"257,696"
Motor Vehicle Theft,Under35,"65,102"
Robbery,Under35,"16,214"
Stolen Property Offenses,Under35,"8,372"
Assault Offenses,Under40,"292,157"
Homicide Offenses,Under40,"1,578"
Human Trafficking Offenses,Under40,81
Kidnapping/Abduction,Under40,"3,588"
Sex Offenses,Under40,"7,118"
Arson,Under40,"2,192"
Bribery,Under40,49
Burglary/Breaking & Entering,Under40,"53,607"
Counterfeiting/Forgery,Under40,"4,424"
Destruction/Damage/Vandalism ,Under40,"114,773"
Embezzlement,Under40,680
Extortion/Blackmail,Under40,866
Fraud Offenses,Under40,"62,083"
Larceny/Theft Offenses,Under40,"231,340"
Motor Vehicle Theft,Under40,"59,188"
Robbery,Under40,"13,432"
Stolen Property Offenses,Under40,"7,776"
Assault Offenses,Under45,"224,222"
Homicide Offenses,Under45,"1,155"
Human Trafficking Offenses,Under45,34
Kidnapping/Abduction,Under45,"2,566"
Sex Offenses,Under45,"5,016"
Arson,Under45,"2,016"
Bribery,Under45,48
Burglary/Breaking & Entering,Under45,"46,521"
Counterfeiting/Forgery,Under45,"4,338"
Destruction/Damage/Vandalism ,Under45,"99,933"
Embezzlement,Under45,600
Extortion/Blackmail,Under45,670
Fraud Offenses,Under45,"62,237"
Larceny/Theft Offenses,Under45,"195,676"
Motor Vehicle Theft,Under45,"51,785"
Robbery,Under45,"10,666"
Stolen Property Offenses,Under45,"6,677"
Assault Offenses,Under50,"175,238"
Homicide Offenses,Under50,944
Human Trafficking Offenses,Under50,30
Kidnapping/Abduction,Under50,"1,689"
Sex Offenses,Under50,"3,573"
Arson,Under50,"1,897"
Bribery,Under50,25
Burglary/Breaking & Entering,Under50,"42,398"
Counterfeiting/Forgery,Under50,"4,358"
Destruction/Damage/Vandalism ,Under50,"88,356"
Embezzlement,Under50,611
Extortion/Blackmail,Under50,591
Fraud Offenses,Under50,"62,438"
Larceny/Theft Offenses,Under50,"175,193"
Motor Vehicle Theft,Under50,"46,016"
Robbery,Under50,"8,668"
Stolen Property Offenses,Under50,"6,268"
Assault Offenses,Under55,"144,000"
Homicide Offenses,Under55,777
Human Trafficking Offenses,Under55,14
Kidnapping/Abduction,Under55,"1,079"
Sex Offenses,Under55,"2,588"
Arson,Under55,"1,715"
Bribery,Under55,18
Burglary/Breaking & Entering,Under55,"41,461"
Counterfeiting/Forgery,Under55,"4,720"
Destruction/Damage/Vandalism ,Under55,"81,557"
Embezzlement,Under55,619
Extortion/Blackmail,Under55,490
Fraud Offenses,Under55,"62,157"
Larceny/Theft Offenses,Under55,"163,137"
Motor Vehicle Theft,Under55,"41,715"
Robbery,Under55,"7,911"
Stolen Property Offenses,Under55,"5,607"
Assault Offenses,Under60,"120,080"
Homicide Offenses,Under60,634
Human Trafficking Offenses,Under60,20
Kidnapping/Abduction,Under60,778
Sex Offenses,Under60,"1,932"
Arson,Under60,"1,771"
Bribery,Under60,14
Burglary/Breaking & Entering,Under60,"41,581"
Counterfeiting/Forgery,Under60,"5,239"
Destruction/Damage/Vandalism ,Under60,"77,720"
Embezzlement,Under60,581
Extortion/Blackmail,Under60,445
Fraud Offenses,Under60,"62,425"
Larceny/Theft Offenses,Under60,"154,999"
Motor Vehicle Theft,Under60,"38,733"
Robbery,Under60,"7,234"
Stolen Property Offenses,Under60,"6,085"
Assault Offenses,Under65,"77,000"
Homicide Offenses,Under65,484
Human Trafficking Offenses,Under65,3
Kidnapping/Abduction,Under65,465
Sex Offenses,Under65,"1,131"
Arson,Under65,"1,345"
Bribery,Under65,15
Burglary/Breaking & Entering,Under65,"35,348"
Counterfeiting/Forgery,Under65,"5,031"
Destruction/Damage/Vandalism ,Under65,"62,329"
Embezzlement,Under65,494
Extortion/Blackmail,Under65,317
Fraud Offenses,Under65,"54,957"
Larceny/Theft Offenses,Under65,"125,770"
Motor Vehicle Theft,Under65,"29,139"
Robbery,Under65,"5,098"
Stolen Property Offenses,Under65,"4,067"
Assault Offenses,Over65,"85,686"
Homicide Offenses,Over65,774
Human Trafficking Offenses,Over65,6
Kidnapping/Abduction,Over65,610
Sex Offenses,Over65,"1,917"
Arson,Over65,"2,336"
Bribery,Over65,17
Burglary/Breaking & Entering,Over65,"67,410"
Counterfeiting/Forgery,Over65,"13,779"
Destruction/Damage/Vandalism ,Over65,"99,641"
Embezzlement,Over65,"1,263"
Extortion/Blackmail,Over65,590
Fraud Offenses,Over65,"124,105"
Larceny/Theft Offenses,Over65,"222,164"
Motor Vehicle Theft,Over65,"44,013"
Robbery,Over65,"5,705"
Stolen Property Offenses,Over65,"7,195"
Assault Offenses,Unknown Age,"32,956"
Homicide Offenses,Unknown Age,224
Human Trafficking Offenses,Unknown Age,193
Kidnapping/Abduction,Unknown Age,319
Sex Offenses,Unknown Age,"1,877"
Arson,Unknown Age,"1,302"
Bribery,Unknown Age,41
Burglary/Breaking & Entering,Unknown Age,"7,005"
Counterfeiting/Forgery,Unknown Age,"2,207"
Destruction/Damage/Vandalism ,Unknown Age,"14,281"
Embezzlement,Unknown Age,143
Extortion/Blackmail,Unknown Age,77
Fraud Offenses,Unknown Age,"11,195"
Larceny/Theft Offenses,Unknown Age,"26,217"
Motor Vehicle Theft,Unknown Age,"6,195"
Robbery,Unknown Age,"1,038"
Stolen Property Offenses,Unknown Age,"10,162"