Location,"Total
Offenses","Assault
Offenses","Homicide
Offenses","Human
Trafficking","Kidnapping/
Abduction","Sex
Offenses"
Total,"2,235,280","2,063,412","11,815","1,576","31,216","127,261"
Abandoned/Condemned Structure,918,757,8,0,23,130
Air/Bus/Train Terminal,"6,322","5,971",19,2,34,296
Amusement Park,631,574,1,0,5,51
Arena/Stadium/Fairgrounds/Coliseum,684,639,0,0,0,45
ATM Separate from Bank,159,138,0,0,10,11
Auto Dealership New/Used,"1,382","1,346",2,0,8,26
Bank/Savings and Loan,"1,810","1,704",6,0,69,31
Bar/Nightclub,"20,283","19,463",158,11,74,577
Camp/Campground,"2,299","1,961",6,0,39,293
Church/Synagogue/Temple/Mosque,"2,919","2,515",13,0,44,347
Commercial/Office Building,"21,508","20,400",85,21,182,820
Community Center,"1,309","1,195",5,1,9,99
Construction Site,"1,327","1,259",7,0,10,51
Convenience Store,"26,336","25,458",172,6,354,346
Cyberspace,"8,369","8,288",0,81,0,0
Daycare Facility,"1,648","1,392",1,0,29,226
Department/Discount Store,"14,958","14,344",17,5,176,416
Dock/Wharf/Freight/Modal Terminal,471,454,0,0,3,14
Drug Store/Doctor's Office/Hospital,"29,475","27,409",40,9,117,"1,900"
Farm Facility,445,372,8,0,9,56
Field/Woods,"9,758","8,083",240,4,154,"1,277"
Gambling Facility/Casino/Race Track,"1,841","1,760",7,1,25,48
Government/Public Building,"13,671","12,244",14,19,250,"1,144"
Grocery/Supermarket,"12,211","11,755",27,0,129,300
Highway/Road/Alley/Street/Sidewalk,"252,492","240,164","3,288",158,"3,930","4,952"
Hotel/Motel/Etc.,"51,971","45,140",232,336,"1,301","4,962"
Industrial Site,"1,506","1,437",5,0,9,55
Jail/Prison/Penitentiary/Corrections Facility,"21,010","20,057",27,4,32,890
Lake/Waterway/Beach,"2,176","1,881",25,1,16,253
Liquor Store,"1,974","1,918",13,0,11,32
Military Installation,79,61,0,0,1,17
Park/Playground,"17,192","15,200",104,16,198,"1,674"
Parking/Drop Lot/Garage,"95,747","90,832",917,35,"1,277","2,686"
Rental Storage Facility,"2,186","1,992",10,3,58,123
Residence/Home,"1,441,577","1,323,177","5,710",625,"20,721","91,344"
Rest Area,"1,020",949,1,0,6,64
Restaurant,"28,345","27,193",88,20,271,773
School/College,"6,046","5,501",1,1,34,509
School-College/University,"3,880","3,284",4,0,48,544
School-Elementary/Secondary,"28,168","25,589",10,7,185,"2,377"
Service/Gas Station,"18,033","17,341",124,7,287,274
Shelter-Mission/Homeless,"3,196","3,015",7,2,13,159
Shopping Mall,"2,903","2,720",15,2,33,133
Specialty Store,"9,363","8,879",26,3,113,342
Tribal Lands,113,99,0,1,1,12
Other/Unknown,"65,569","57,502",372,195,918,"6,582"